"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/13/2018 00:50:00","CAPITL",61757,24.61,1.67,0.00
"02/13/2018 00:50:00","CENTRL",61754,23.44,0.50,0.00
"02/13/2018 00:50:00","DUNWOD",61760,24.87,1.93,0.00
"02/13/2018 00:50:00","GENESE",61753,23.08,0.14,0.00
"02/13/2018 00:50:00","H Q",61844,22.27,-0.67,0.00
"02/13/2018 00:50:00","HUD VL",61758,24.82,1.88,0.00
"02/13/2018 00:50:00","LONGIL",61762,25.60,2.66,0.00
"02/13/2018 00:50:00","MHK VL",61756,23.65,0.71,0.00
"02/13/2018 00:50:00","MILLWD",61759,24.91,1.97,0.00
"02/13/2018 00:50:00","N.Y.C.",61761,25.05,2.11,0.00
"02/13/2018 00:50:00","NORTH",61755,22.44,-0.50,0.00
"02/13/2018 00:50:00","NPX",61845,24.75,1.81,0.00
"02/13/2018 00:50:00","O H",61846,22.48,-0.46,0.00
"02/13/2018 00:50:00","PJM",61847,23.70,0.76,0.00
"02/13/2018 00:50:00","WEST",61752,22.99,0.05,0.00
"02/13/2018 00:55:00","CAPITL",61757,24.55,1.67,0.00
"02/13/2018 00:55:00","CENTRL",61754,23.38,0.50,0.00
"02/13/2018 00:55:00","DUNWOD",61760,24.82,1.94,0.00
"02/13/2018 00:55:00","GENESE",61753,22.99,0.11,0.00
"02/13/2018 00:55:00","H Q",61844,22.21,-0.66,0.00
"02/13/2018 00:55:00","HUD VL",61758,24.75,1.88,0.00
"02/13/2018 00:55:00","LONGIL",61762,25.58,2.70,0.00
"02/13/2018 00:55:00","MHK VL",61756,23.59,0.71,0.00
"02/13/2018 00:55:00","MILLWD",61759,24.85,1.97,0.00
"02/13/2018 00:55:00","N.Y.C.",61761,25.01,2.13,0.00
"02/13/2018 00:55:00","NORTH",61755,22.37,-0.50,0.00
"02/13/2018 00:55:00","NPX",61845,24.71,1.83,0.00
"02/13/2018 00:55:00","O H",61846,22.40,-0.48,0.00
"02/13/2018 00:55:00","PJM",61847,23.63,0.75,0.00
"02/13/2018 00:55:00","WEST",61752,22.90,0.02,0.00
"02/13/2018 01:00:00","CAPITL",61757,21.21,1.50,0.00
"02/13/2018 01:00:00","CENTRL",61754,20.08,0.37,0.00
"02/13/2018 01:00:00","DUNWOD",61760,21.40,1.70,0.00
"02/13/2018 01:00:00","GENESE",61753,19.77,0.06,0.00
"02/13/2018 01:00:00","H Q",61844,19.14,-0.57,0.00
"02/13/2018 01:00:00","HUD VL",61758,21.34,1.63,0.00
"02/13/2018 01:00:00","LONGIL",61762,22.09,2.38,0.00
"02/13/2018 01:00:00","MHK VL",61756,20.32,0.61,0.00
"02/13/2018 01:00:00","MILLWD",61759,21.44,1.73,0.00
"02/13/2018 01:00:00","N.Y.C.",61761,21.60,1.89,0.00
"02/13/2018 01:00:00","NORTH",61755,19.26,-0.45,0.00
"02/13/2018 01:00:00","NPX",61845,21.33,1.62,0.00
"02/13/2018 01:00:00","O H",61846,19.22,-0.49,0.00
"02/13/2018 01:00:00","PJM",61847,20.30,0.59,0.00
"02/13/2018 01:00:00","WEST",61752,19.65,-0.06,0.00
"02/13/2018 01:05:00","CAPITL",61757,21.19,1.50,0.00
"02/13/2018 01:05:00","CENTRL",61754,20.04,0.35,0.00
"02/13/2018 01:05:00","DUNWOD",61760,21.40,1.71,0.00
"02/13/2018 01:05:00","GENESE",61753,19.75,0.06,0.00
"02/13/2018 01:05:00","H Q",61844,19.12,-0.57,0.00
"02/13/2018 01:05:00","HUD VL",61758,21.32,1.63,0.00
"02/13/2018 01:05:00","LONGIL",61762,22.13,2.44,0.00
"02/13/2018 01:05:00","MHK VL",61756,20.28,0.59,0.00
"02/13/2018 01:05:00","MILLWD",61759,21.42,1.73,0.00
"02/13/2018 01:05:00","N.Y.C.",61761,21.58,1.89,0.00
"02/13/2018 01:05:00","NORTH",61755,19.24,-0.45,0.00
"02/13/2018 01:05:00","NPX",61845,21.30,1.61,0.00
"02/13/2018 01:05:00","O H",61846,19.20,-0.49,0.00
"02/13/2018 01:05:00","PJM",61847,20.26,0.57,0.00
"02/13/2018 01:05:00","WEST",61752,19.63,-0.06,0.00
"02/13/2018 01:10:00","CAPITL",61757,17.78,1.24,0.00
"02/13/2018 01:10:00","CENTRL",61754,16.85,0.31,0.00
"02/13/2018 01:10:00","DUNWOD",61760,17.96,1.42,0.00
"02/13/2018 01:10:00","GENESE",61753,16.60,0.07,0.00
"02/13/2018 01:10:00","H Q",61844,16.05,-0.48,0.00
"02/13/2018 01:10:00","HUD VL",61758,17.91,1.37,0.00
"02/13/2018 01:10:00","LONGIL",61762,18.55,2.02,0.00
"02/13/2018 01:10:00","MHK VL",61756,17.03,0.50,0.00
"02/13/2018 01:10:00","MILLWD",61759,17.97,1.44,0.00
"02/13/2018 01:10:00","N.Y.C.",61761,18.11,1.57,0.00
"02/13/2018 01:10:00","NORTH",61755,16.16,-0.38,0.00
"02/13/2018 01:10:00","NPX",61845,17.87,1.34,0.00
"02/13/2018 01:10:00","O H",61846,16.16,-0.38,0.00
"02/13/2018 01:10:00","PJM",61847,17.03,0.50,0.00
"02/13/2018 01:10:00","WEST",61752,16.53,0.00,0.00
"02/13/2018 01:15:00","CAPITL",61757,17.74,1.22,0.00
"02/13/2018 01:15:00","CENTRL",61754,16.90,0.38,0.00
"02/13/2018 01:15:00","DUNWOD",61760,17.94,1.42,0.00
"02/13/2018 01:15:00","GENESE",61753,16.65,0.13,0.00
"02/13/2018 01:15:00","H Q",61844,16.02,-0.50,0.00
"02/13/2018 01:15:00","HUD VL",61758,17.89,1.37,0.00
"02/13/2018 01:15:00","LONGIL",61762,18.55,2.03,0.00
"02/13/2018 01:15:00","MHK VL",61756,17.05,0.53,0.00
"02/13/2018 01:15:00","MILLWD",61759,17.95,1.44,0.00
"02/13/2018 01:15:00","N.Y.C.",61761,18.07,1.55,0.00
"02/13/2018 01:15:00","NORTH",61755,16.12,-0.40,0.00
"02/13/2018 01:15:00","NPX",61845,17.82,1.30,0.00
"02/13/2018 01:15:00","O H",61846,16.25,-0.26,0.00
"02/13/2018 01:15:00","PJM",61847,17.09,0.58,0.00
"02/13/2018 01:15:00","WEST",61752,16.62,0.10,0.00
"02/13/2018 01:20:00","CAPITL",61757,17.70,1.20,0.00
"02/13/2018 01:20:00","CENTRL",61754,16.90,0.40,0.00
"02/13/2018 01:20:00","DUNWOD",61760,17.85,1.35,0.00
"02/13/2018 01:20:00","GENESE",61753,16.65,0.15,0.00
"02/13/2018 01:20:00","H Q",61844,16.02,-0.48,0.00
"02/13/2018 01:20:00","HUD VL",61758,17.80,1.30,0.00
"02/13/2018 01:20:00","LONGIL",61762,18.46,1.96,0.00
"02/13/2018 01:20:00","MHK VL",61756,17.03,0.53,0.00
"02/13/2018 01:20:00","MILLWD",61759,17.87,1.37,0.00
"02/13/2018 01:20:00","N.Y.C.",61761,17.99,1.49,0.00
"02/13/2018 01:20:00","NORTH",61755,16.12,-0.38,0.00
"02/13/2018 01:20:00","NPX",61845,17.77,1.27,0.00
"02/13/2018 01:20:00","O H",61846,16.27,-0.23,0.00
"02/13/2018 01:20:00","PJM",61847,17.08,0.58,0.00
"02/13/2018 01:20:00","WEST",61752,16.63,0.13,0.00
"02/13/2018 01:25:00","CAPITL",61757,17.72,1.22,0.00
"02/13/2018 01:25:00","CENTRL",61754,16.90,0.40,0.00
"02/13/2018 01:25:00","DUNWOD",61760,17.85,1.35,0.00
"02/13/2018 01:25:00","GENESE",61753,16.65,0.15,0.00
"02/13/2018 01:25:00","H Q",61844,16.02,-0.48,0.00
"02/13/2018 01:25:00","HUD VL",61758,17.80,1.30,0.00
"02/13/2018 01:25:00","LONGIL",61762,18.45,1.95,0.00
"02/13/2018 01:25:00","MHK VL",61756,17.03,0.53,0.00
"02/13/2018 01:25:00","MILLWD",61759,17.87,1.37,0.00
"02/13/2018 01:25:00","N.Y.C.",61761,17.99,1.49,0.00
"02/13/2018 01:25:00","NORTH",61755,16.12,-0.38,0.00
"02/13/2018 01:25:00","NPX",61845,17.79,1.29,0.00
"02/13/2018 01:25:00","O H",61846,16.25,-0.25,0.00
"02/13/2018 01:25:00","PJM",61847,17.04,0.54,0.00
"02/13/2018 01:25:00","WEST",61752,16.62,0.12,0.00
"02/13/2018 01:30:00","CAPITL",61757,17.72,1.22,0.00
"02/13/2018 01:30:00","CENTRL",61754,16.90,0.40,0.00
"02/13/2018 01:30:00","DUNWOD",61760,17.85,1.35,0.00
"02/13/2018 01:30:00","GENESE",61753,16.68,0.18,0.00
"02/13/2018 01:30:00","H Q",61844,16.02,-0.48,0.00
"02/13/2018 01:30:00","HUD VL",61758,17.80,1.30,0.00
"02/13/2018 01:30:00","LONGIL",61762,18.45,1.95,0.00
"02/13/2018 01:30:00","MHK VL",61756,17.03,0.53,0.00
"02/13/2018 01:30:00","MILLWD",61759,17.87,1.37,0.00
"02/13/2018 01:30:00","N.Y.C.",61761,17.99,1.49,0.00
"02/13/2018 01:30:00","NORTH",61755,16.12,-0.38,0.00
